N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year
11368,HAV,Havasu lake Sample,,Havasu  ,11/25/2019,11/25/2019,,,0.386,,,,,,,,2016-20
11418,HAV,Havasu lake Sample,,Havasu  ,12/18/2019,12/18/2019,,,,,,,,,,,2016-20
11468,HAV,Havasu lake Sample,,Havasu  ,1/1/2020,1/1/2020,,,,,,,,,,,2016-20
11518,HAV,Havasu lake Sample,,Havasu  ,2/1/2020,2/1/2020,,,,,,,,,2020,,2016-20
11568,HAV,Havasu lake Sample,,Havasu  ,5/1/2020,5/1/2020,,,,,,,,,2020,,2016-20
11618,HAV,Havasu lake Sample,,Havasu  ,6/1/2020,6/1/2020,,,,,,,,,2020,,2016-20
11668,HAV,Havasu lake Sample,,Havasu  ,7/1/2020,7/1/2020,,,,,,,,,2020,,2016-20
11718,HAV,Havasu lake Sample,,Havasu  ,8/1/2020,8/1/2020,,,,,,,,,2020,,2016-20
11768,HAV,Havasu lake Sample,,Havasu  ,9/1/2020,9/1/2020,,,,,,,,,2020,,2016-20
11818,HAV,Havasu lake Sample,,Havasu  ,10/1/2020,10/1/2020,,,,,,,,,2020,,2016-20
11868,HAV,Havasu lake Sample,,Havasu  ,11/1/2020,11/1/2020,,,,,,,,,2020,,2016-20
11918,HAV,Havasu lake Sample,,Havasu  ,1/1/2021,1/1/2021,,,,,,,,,2021,,
11968,HAV,Havasu lake Sample,,Havasu  ,2/1/2021,2/1/2021,,,,,,,,,2021,,
12018,HAV,Havasu lake Sample,,Havasu  ,,,,,,,,,,,2021,,
9365,HOC,Head of the Consolidated Canal,az canal,,6/6/2016,6/6/2016,,,,,,,,,2016,,2016-20
9415,HOC,Head of the Consolidated Canal,az canal,,7/11/2016,7/11/2016,,,,,,,,,2016,,2016-20
9465,HOC,Head of the Consolidated Canal,az canal,,8/1/2016,8/1/2016,,,,,,,,,2016,,2016-20
9515,HOC,Head of the Consolidated Canal,az canal,,9/12/2016,9/12/2016,,,,,,,,,2016,,2016-20
9565,HOC,Head of the Consolidated Canal,az canal,,10/24/2016,10/24/2016,,,,,,,,,2016,,2016-20
9615,HOC,Head of the Consolidated Canal,az canal,,11/7/2016,11/7/2016,,,,,,,,,2016,,2016-20
9665,HOC,Head of the Consolidated Canal,az canal,,12/5/2016,12/5/2016,,,,,,,,,2016,,2016-20
9715,HOC,Head of the Consolidated Canal,az canal,,1/2/2017,1/2/2017,,,,,,,,,2017,,2016-20
9765,HOC,Head of the Consolidated Canal,az canal,,2/6/2017,2/6/2017,,,,,,,,,2017,,2016-20
