ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
435,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/12/2000,,,2.521,2.47,0.052,2.08,84.65,445.23,82.13,78.29,47.12,1.742996604,
436,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/13/2000,,,3.075,4.25,0.054,1.26,77.3,446.53,76.13,71.94,43.16,1.763901761,
437,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/13/2000,,,5.965,3.21,0.053,1.64,77.21,447.59,76.89,71.75,42.15,1.824199288,
438,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,12/13/2000,,,3.179,3.15,0.05,1.6,78.17,441.21,78.02,72.59,42.63,1.830166549,
439,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/13/2000,,,3.034,3.24,0.051,1.56,78.94,443.84,77.71,72.5,42.71,1.819480215,
440,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/13/2000,,,2.781,2.13,0.03,1.43,58.3,442.74,57.55,53.36,32.63,1.763714373,
441,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/13/2000,,,2.954,3.48,0.04,1.15,46.05,443.23,45.1,41.49,24.2,1.863636364,
442,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/13/2000,,,2.067,2.07,0.041,1.97,70.67,446.84,69.86,66.27,39.84,1.753514056,
443,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/13/2000,,,8.232,2.12,0.04,1.88,63.39,449,63.23,59.37,35.57,1.777621591,
444,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/14/2000,,,2.843,3.9,0.048,1.23,65.1,445.12,64.19,60.27,36.72,1.748093682,
445,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/14/2000,,,1.834,1.78,0.025,1.4,49.33,441.62,48.52,44.87,26.19,1.852615502,
446,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/14/2000,,,2.414,2.31,0.041,1.75,63.74,449.34,63.62,59.9,35.82,1.776102736,
